Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR28499045_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00019043040347368494)	(4, 0.00041015779209716756)	(5, 0.001098636943117413)	(6, 0.002233895117672073)	(7, 0.0026367286634817913)	(8, 0.0031567501498907004)	(9, 0.00404298395067208)	(10, 0.004592302422230786)	(11, 0.005112323908639696)	(12, 0.005705587857923099)	(13, 0.0062329335906194565)	(14, 0.0068921157564899044)	(15, 0.0075879191537976)	(16, 0.008452180215716632)	(17, 0.009375035247935258)	(18, 0.010041541660093155)	(19, 0.010473672191052672)	(20, 0.011074260386623524)	(21, 0.011718794059919073)	(22, 0.012502488412676161)	(23, 0.013212940302558755)	(24, 0.01376958302040491)	(25, 0.014318901491963618)	(26, 0.015095271598433256)	(27, 0.01580572348831585)	(28, 0.016604066333647836)	(29, 0.01753424561215391)	(30, 0.018391182427785494)	(31, 0.01936530718401627)	(32, 0.020068434827611413)	(33, 0.021027911091267285)	(34, 0.02236824816187053)	(35, 0.023481533597562842)	(36, 0.0246460887572673)	(37, 0.025810643916971757)	(38, 0.027011820308113464)	(39, 0.02818369971410537)	(40, 0.02958995500129566)	(41, 0.031069452751360443)	(42, 0.032695435427174215)	(43, 0.03441663330472483)	(44, 0.040737457850793676)	(45, 0.045915699976020415)	(46, 0.048193540571417184)	(47, 0.049980656665554846)	(48, 0.05206806685747793)	(49, 0.05416280129568846)	(50, 0.05729757870671682)	(51, 0.07987090576463593)	(52, 0.11233928955689922)	(53, 0.11902632641734054)	(54, 0.19011546088332462)	(55, 0.21506184373837733)	(56, 0.21948568849599678)	(57, 0.2224813052275636)	(58, 0.22518395210763242)	(59, 0.2281868930854867)	(60, 0.23105799763016688)	(61, 0.23371669903251102)	(62, 0.23664639754749078)	(63, 0.23922453224067297)	(64, 0.24174407296355557)	(65, 0.2447836351728471)
SRR28499045_2 - illumina_universal_adapter	(1, 0.018530343107247035)	(2, 0.018925852406769302)	(3, 0.0227198119836681)	(4, 0.03210949572417826)	(5, 0.03838637479252242)	(6, 0.04179947356247384)	(7, 0.04456803865912973)	(8, 0.047234064307761316)	(9, 0.04943866244028359)	(10, 0.053049515859996156)	(11, 0.055715541508627744)	(12, 0.05764181828222694)	(13, 0.05943625862265205)	(14, 0.06150902032200024)	(15, 0.06314965149038891)	(16, 0.0645705552701541)	(17, 0.06573511042985855)	(18, 0.06696558380615006)	(19, 0.06778589939034439)	(20, 0.06844508155621483)	(21, 0.0690456697517857)	(22, 0.06952907000675734)	(23, 0.06994655204514197)	(24, 0.07032008860580188)	(25, 0.0707522191367614)	(26, 0.07109645871227152)	(27, 0.07139675281005695)	(28, 0.07172634389299218)	(29, 0.07204861072963994)	(30, 0.07237087756628773)	(31, 0.0727224413880853)	(32, 0.07314724767275736)	(33, 0.07360867518886667)	(34, 0.07390896928665211)	(35, 0.07445096351192336)	(36, 0.07480252733372093)	(37, 0.07530790032755494)	(38, 0.07579862482881405)	(39, 0.07606962194144969)	(40, 0.076531049457559)	(41, 0.0771096649142675)	(42, 0.07786406228187479)	(43, 0.07856718992546993)	(44, 0.07941680249481407)	(45, 0.0802664150641582)	(46, 0.08134307926841326)	(47, 0.08237579799494363)	(48, 0.08368683808039708)	(49, 0.08518830856932422)	(50, 0.08667513056567644)	(51, 0.0884183011820894)	(52, 0.0904617658962878)	(53, 0.09249058211791128)	(54, 0.09484898942247)	(55, 0.09752966356367648)	(56, 0.10079627740787893)	(57, 0.10433388836471699)	(58, 0.1080839024638911)	(59, 0.11209758942941338)	(60, 0.11673383732936886)	(61, 0.1219560249323203)	(62, 0.1275590733422191)	(63, 0.13359425228307742)	(64, 0.1401274799714823)	(65, 0.14769342638641755)
SRR28499045_2 - polya	(1, 0.18677560457624767)	(2, 0.20412674403121536)	(3, 0.21022784118866072)	(4, 0.21967611889947047)	(5, 0.2255794614071547)	(6, 0.23140956145196445)	(7, 0.23896818362061226)	(8, 0.2575571206981589)	(9, 0.2844883742971104)	(10, 0.3089147356657542)	(11, 0.31594601210170564)	(12, 0.3224279700660984)	(13, 0.33044069550456806)	(14, 0.33909063037004583)	(15, 0.35421519895362885)	(16, 0.36984514053104595)	(17, 0.37873677552400953)	(18, 0.3875331953152363)	(19, 0.39460109298262497)	(20, 0.4026064941748072)	(21, 0.41076570453902583)	(22, 0.41971593350228903)	(23, 0.427538228537285)	(24, 0.4361808391564753)	(25, 0.4451676893511758)	(26, 0.45854908731834587)	(27, 0.4696526446901192)	(28, 0.48112241437626496)	(29, 0.49014588580240265)	(30, 0.4990448450416537)	(31, 0.5064130368068278)	(32, 0.5129242917563703)	(33, 0.522094248108257)	(34, 0.5304805101073866)	(35, 0.5395772239963988)	(36, 0.547223737120496)	(37, 0.5535445616665648)	(38, 0.5607442957671276)	(39, 0.5681124875323017)	(40, 0.5792526661355123)	(41, 0.5882395163302128)	(42, 0.5961570265669456)	(43, 0.6045213158272128)	(44, 0.6133250598647271)	(45, 0.6263695425026744)	(46, 0.6389379491319377)	(47, 0.6523999138082697)	(48, 0.6645581626454358)	(49, 0.6760425808241565)	(50, 0.6872340291513791)	(51, 0.6978175650367435)	(52, 0.7100124351053468)	(53, 0.7286013721828934)	(54, 0.7548734436159745)	(55, 0.7792558595068937)	(56, 0.7982036846525253)	(57, 0.8157965242349788)	(58, 0.8326862361738372)	(59, 0.8494221389406591)	(60, 0.8656306959747847)	(61, 0.8819784136883718)	(62, 0.8989853135678293)	(63, 0.9147983613024326)	(64, 0.9326841707363841)	(65, 0.9593224544838377)
SRR28499045_2 - polyg	(1, 1.669459401776071)	(2, 1.674930613752796)	(3, 1.677032672437294)	(4, 1.6788857067480185)	(5, 1.6805776076404193)	(6, 1.6824672631825812)	(7, 1.6847158067928283)	(8, 1.687074214097387)	(9, 1.6901357490455409)	(10, 1.6925161290889619)	(11, 1.694508324079148)	(12, 1.696119658262387)	(13, 1.6979360713416745)	(14, 1.6990713295162292)	(15, 1.7000967239964722)	(16, 1.701188036693302)	(17, 1.7021694856958203)	(18, 1.7031216377131886)	(19, 1.7039932230213952)	(20, 1.7048062143593021)	(21, 1.7055532874806218)	(22, 1.706336981833379)	(23, 1.7073623763136219)	(24, 1.7082412858681157)	(25, 1.709156816654047)	(26, 1.7100650231936907)	(27, 1.7113028208162697)	(28, 1.712284269818788)	(29, 1.713229097589869)	(30, 1.714276464808974)	(31, 1.7154190472298163)	(32, 1.716605575128383)	(33, 1.7177042120715005)	(34, 1.719015252156954)	(35, 1.720355589227557)	(36, 1.7217032505444478)	(37, 1.7230509118613386)	(38, 1.7246109763205653)	(39, 1.7261490680409297)	(40, 1.727687159761294)	(41, 1.7291300362799216)	(42, 1.730653479507711)	(43, 1.7323234076612495)	(44, 1.7340958752628122)	(45, 1.735934261080962)	(46, 1.737516298279051)	(47, 1.7391569294474398)	(48, 1.741215042654213)	(49, 1.743199913398112)	(50, 1.7451847841420107)	(51, 1.747096412423035)	(52, 1.7488762042708852)	(53, 1.7508171295370594)	(54, 1.7527873517883832)	(55, 1.754757574039707)	(56, 1.7566765265670188)	(57, 1.7587053427886423)	(58, 1.7610344531080513)	(59, 1.763326942196023)	(60, 1.7655681615599825)	(61, 1.7678460021553792)	(62, 1.7699407365935897)	(63, 1.7720867407558125)	(64, 1.7743572571049218)	(65, 1.7769939857684036)
SRR28499048_1 - illumina_universal_adapter	(1, 0.008140585597185297)	(2, 0.008389349540618778)	(3, 0.011039972248237594)	(4, 0.017001728823626192)	(5, 0.021033420320651575)	(6, 0.02322082740946322)	(7, 0.025219517023946016)	(8, 0.027029489164099967)	(9, 0.02814463787604316)	(10, 0.030649433444407865)	(11, 0.03203050223381443)	(12, 0.033145650945757624)	(13, 0.03420075318859618)	(14, 0.03567618071516717)	(15, 0.0366540803548712)	(16, 0.0375719335254706)	(17, 0.03830964728875609)	(18, 0.039090251387116325)	(19, 0.03961351347502813)	(20, 0.04013677556293994)	(21, 0.040548522779657425)	(22, 0.04094311386234501)	(23, 0.04138917334712229)	(24, 0.04174945216175009)	(25, 0.04210115290936294)	(26, 0.04235849491981137)	(27, 0.042615836930259804)	(28, 0.04292464734279792)	(29, 0.043181989353246346)	(30, 0.04373098564220299)	(31, 0.04408268638981584)	(32, 0.04457163620966786)	(33, 0.04511205443160956)	(34, 0.04547233324623736)	(35, 0.045841190127880106)	(36, 0.04622720314355275)	(37, 0.046578903891165604)	(38, 0.04712790018012225)	(39, 0.04766831840206395)	(40, 0.04819158048997576)	(41, 0.04872342064490251)	(42, 0.04936677567102358)	(43, 0.0501988481714735)	(44, 0.051168169744162585)	(45, 0.05197450804356766)	(46, 0.053003876085361376)	(47, 0.05413618093133446)	(48, 0.055156970906113226)	(49, 0.0565208835614899)	(50, 0.05771323487656762)	(51, 0.059059991397914395)	(52, 0.060844229337023506)	(53, 0.06279145054941661)	(54, 0.06495312343718342)	(55, 0.06713195245898011)	(56, 0.07001418297600251)	(57, 0.07293930382809966)	(58, 0.07657640424243745)	(59, 0.08038506599707419)	(60, 0.08513731512335518)	(61, 0.09016406239411448)	(62, 0.09543957360830728)	(63, 0.10146995471981546)	(64, 0.10816942505848955)	(65, 0.11552082849029967)
SRR28499048_1 - polya	(1, 0.02611163599350057)	(2, 0.036319535741288246)	(3, 0.04182665476488462)	(4, 0.05118532587819248)	(5, 0.0548824727616349)	(6, 0.059008522995824715)	(7, 0.06508179444240764)	(8, 0.0747664321022835)	(9, 0.09222279847770191)	(10, 0.11152344926133408)	(11, 0.11786264078538036)	(12, 0.12344696241211127)	(13, 0.13104712978735486)	(14, 0.13887890497200206)	(15, 0.14723394224456104)	(16, 0.15856556877130684)	(17, 0.16811295735894355)	(18, 0.1764251042964278)	(19, 0.18412820847585076)	(20, 0.1952110710591631)	(21, 0.20759779982874746)	(22, 0.22301258625460835)	(23, 0.23931091358300885)	(24, 0.2524954025849833)	(25, 0.267627112799351)	(26, 0.2878113044855227)	(27, 0.30541349800019524)	(28, 0.3256748922895015)	(29, 0.34031765268401715)	(30, 0.35287594279390044)	(31, 0.36364999496467465)	(32, 0.37412381478992573)	(33, 0.38754848966831873)	(34, 0.40107610135089117)	(35, 0.41287094349644415)	(36, 0.4218007112590046)	(37, 0.43065327641843054)	(38, 0.4400977282018879)	(39, 0.4518325238783362)	(40, 0.4629153864616486)	(41, 0.4710045036567442)	(42, 0.4805090019093062)	(43, 0.4896103310121656)	(44, 0.4992349222029368)	(45, 0.5102920505852043)	(46, 0.5231419949735958)	(47, 0.5339675155464597)	(48, 0.5430688446493191)	(49, 0.5514925064579977)	(50, 0.5592728132405552)	(51, 0.5662982501257974)	(52, 0.5737097000267121)	(53, 0.5837975068362905)	(54, 0.5952749605022905)	(55, 0.6078589848132187)	(56, 0.6182556020353351)	(57, 0.6283691430459584)	(58, 0.6366641338494127)	(59, 0.6443243476937609)	(60, 0.6524992455590061)	(61, 0.6602280839394739)	(62, 0.6693551472433781)	(63, 0.6780704633305649)	(64, 0.6864683909381987)	(65, 0.6975941438565857)
SRR28499048_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 8.578067014947624e-05)	(4, 0.00026592007746337637)	(5, 0.0010207899747787673)	(6, 0.0020930483516472206)	(7, 0.0024361710322451254)	(8, 0.003019479589261564)	(9, 0.004186096703294441)	(10, 0.004872342064490251)	(11, 0.0053870260853871085)	(12, 0.005978912709418495)	(13, 0.006493596730315352)	(14, 0.007342825364795167)	(15, 0.008192053999274982)	(16, 0.009152797504949116)	(17, 0.01003633840748872)	(18, 0.010825520572863902)	(19, 0.011563234336149399)	(20, 0.012360994568539528)	(21, 0.013210223203019343)	(22, 0.014205278976753267)	(23, 0.01524322508556193)	(24, 0.016272593127355645)	(25, 0.017207602431984936)	(26, 0.018254126607808546)	(27, 0.019206292046467732)	(28, 0.020269972356321237)	(29, 0.021222137794980424)	(30, 0.02227724003781898)	(31, 0.023375232615732277)	(32, 0.024584740064839895)	(33, 0.025905762385141827)	(34, 0.027175316303354076)	(35, 0.02834193341738695)	(36, 0.029628643469629096)	(37, 0.03119842973336451)	(38, 0.032708169527995296)	(39, 0.03464681267337346)	(40, 0.03632811380830319)	(41, 0.038326803422785986)	(42, 0.04005957295980541)	(43, 0.04212688711040779)	(44, 0.04520641316877398)	(45, 0.047942816546542276)	(46, 0.05047334631595182)	(47, 0.05295240768327169)	(48, 0.055311376112382286)	(49, 0.057670344541492884)	(50, 0.06046679438836581)	(51, 0.06923357887764228)	(52, 0.07758861615020127)	(53, 0.08144016823991275)	(54, 0.1278131985227196)	(55, 0.13984822654469112)	(56, 0.1433738120878346)	(57, 0.14670210208963427)	(58, 0.14991887722023964)	(59, 0.1528268419383069)	(60, 0.1562151784092112)	(61, 0.15902878439011403)	(62, 0.16204826397937558)	(63, 0.16501627516654746)	(64, 0.16787277148252502)	(65, 0.17125252988641437)
SRR28499048_2 - illumina_universal_adapter	(1, 0.008097695262110557)	(2, 0.008337881138529091)	(3, 0.011082862583312331)	(4, 0.017164712096910197)	(5, 0.02127360619707011)	(6, 0.023452435218866807)	(7, 0.025494015168424342)	(8, 0.02730398730857829)	(9, 0.028410557953506534)	(10, 0.030941087722916084)	(11, 0.03236504684739739)	(12, 0.03348019555934058)	(13, 0.03452671973516419)	(14, 0.03597641306069034)	(15, 0.036928578499349524)	(16, 0.03784643166994892)	(17, 0.03854983316517463)	(18, 0.039304703062490016)	(19, 0.03984512128443172)	(20, 0.040368383372343525)	(21, 0.04076297445503111)	(22, 0.0411575655377187)	(23, 0.04159504695548103)	(24, 0.04198105997115368)	(25, 0.04235849491981137)	(26, 0.04262441499727475)	(27, 0.04289891314175307)	(28, 0.043181989353246346)	(29, 0.04343933136369477)	(30, 0.04391970311653184)	(31, 0.04431429419921943)	(32, 0.04472604141593692)	(33, 0.04519783510175904)	(34, 0.04554953584937189)	(35, 0.045961283066089376)	(36, 0.04635587414877697)	(37, 0.046759043298479505)	(38, 0.04730803958743615)	(39, 0.04789992621146754)	(40, 0.04844892250042419)	(41, 0.049057965258485464)	(42, 0.049709898351621484)	(43, 0.05045619018192193)	(44, 0.051374043352521326)	(45, 0.05209460098177693)	(46, 0.053149703224615485)	(47, 0.054333476472678256)	(48, 0.055397156782531765)	(49, 0.056761069437908436)	(50, 0.057936264618956256)	(51, 0.059360223743437565)	(52, 0.061135883615531725)	(53, 0.06304879255986505)	(54, 0.06528766805076637)	(55, 0.06759516807778729)	(56, 0.07052886699689938)	(57, 0.07355692465317588)	(58, 0.07726264960363326)	(59, 0.08117424816244938)	(60, 0.08599512182484995)	(61, 0.09109907169874377)	(62, 0.0964346293820412)	(63, 0.10261083763280349)	(64, 0.10931888603849253)	(65, 0.11655877459910832)
SRR28499048_2 - polya	(1, 0.13279705545840417)	(2, 0.14562126564575087)	(3, 0.14995318948829944)	(4, 0.15791363567817082)	(5, 0.16272593127355645)	(6, 0.16756396106998692)	(7, 0.1745293514861244)	(8, 0.19306655430542619)	(9, 0.22074797656266218)	(10, 0.24583024451436902)	(11, 0.2523495754457292)	(12, 0.2593321219958966)	(13, 0.26837340462965137)	(14, 0.27909598839833594)	(15, 0.3007813418121235)	(16, 0.3237276710771084)	(17, 0.3350421414698243)	(18, 0.3464852828677645)	(19, 0.3550976621507719)	(20, 0.3659918072597554)	(21, 0.3763026438117224)	(22, 0.38761711420443834)	(23, 0.39695005111670134)	(24, 0.4072437315346385)	(25, 0.4178204881640689)	(26, 0.436314800648296)	(27, 0.44999681753713744)	(28, 0.4644508604573242)	(29, 0.47576533085004014)	(30, 0.48762021946469775)	(31, 0.49726196678949885)	(32, 0.5059944390107155)	(33, 0.5183211213111952)	(34, 0.5300559169876436)	(35, 0.5439523855518588)	(36, 0.554237487902781)	(37, 0.5625324787062354)	(38, 0.5737697464958167)	(39, 0.5854016053680857)	(40, 0.6066923676991857)	(41, 0.6198854347681751)	(42, 0.6315601839755188)	(43, 0.6434064945231616)	(44, 0.6557589110246861)	(45, 0.6761661324532465)	(46, 0.6946518668704587)	(47, 0.7141412351284196)	(48, 0.7322152223289143)	(49, 0.7489167188070174)	(50, 0.7653951855427318)	(51, 0.779283076039932)	(52, 0.7948865799401217)	(53, 0.8202519241033218)	(54, 0.8531745453066908)	(55, 0.8815851032601973)	(56, 0.9021124176269669)	(57, 0.9218677059623913)	(58, 0.9403791745806483)	(59, 0.9592766562145779)	(60, 0.9771619259407437)	(61, 0.9944467309758632)	(62, 1.0119974560884462)	(63, 1.0296339618711783)	(64, 1.0499468245625743)	(65, 1.0790178936762318)
SRR28499048_2 - polyg	(1, 1.4759422105918882)	(2, 1.4804628519087657)	(3, 1.482384338920114)	(4, 1.4838340322456403)	(5, 1.4850435396947477)	(6, 1.4865447014223636)	(7, 1.488251736758338)	(8, 1.4901045992335669)	(9, 1.4929954078176042)	(10, 1.4953029078446252)	(11, 1.4971900825879136)	(12, 1.498922852124933)	(13, 1.5004583261206086)	(14, 1.5019680659152395)	(15, 1.5033062443695713)	(16, 1.5045243298856938)	(17, 1.5056223224636072)	(18, 1.5066945808404755)	(19, 1.5077325269492843)	(20, 1.5086418020528687)	(21, 1.509602545558543)	(22, 1.5106748039354112)	(23, 1.5118242649154143)	(24, 1.5128965232922826)	(25, 1.514131764942435)	(26, 1.5153412723915427)	(27, 1.5165507798406503)	(28, 1.5176659285525935)	(29, 1.5190469973420002)	(30, 1.520376597729317)	(31, 1.5220750549982767)	(32, 1.5235333263908177)	(33, 1.5253175643299268)	(34, 1.5270503338669463)	(35, 1.5291348041515787)	(36, 1.5311506499000913)	(37, 1.5329263097721855)	(38, 1.5351737633301017)	(39, 1.5371638748775696)	(40, 1.5392483451622019)	(41, 1.5412127225086247)	(42, 1.5433315050613168)	(43, 1.5458019883616219)	(44, 1.5481695348577473)	(45, 1.5504427226167086)	(46, 1.5527931129788042)	(47, 1.5552893304801538)	(48, 1.5579656873888175)	(49, 1.5603761242200178)	(50, 1.5627779829842032)	(51, 1.565257044351523)	(52, 1.5676074347136186)	(53, 1.570635492369895)	(54, 1.573594925490052)	(55, 1.576562936677224)	(56, 1.5792650277869325)	(57, 1.5825161151855975)	(58, 1.5859301858575467)	(59, 1.5887523699054646)	(60, 1.5915659758863674)	(61, 1.594748438748913)	(62, 1.5976992938020549)	(63, 1.6010104276698247)	(64, 1.604235780867445)	(65, 1.607855725147753)
